amplification_likes,amplification_comments,sensitivity_mode,euclidean_distance,nearest_neighbor_rank,distance_delta_from_baseline,rank_delta_from_baseline,interaction_weight,final_weight,weighted_interactions,sensitivity_multiplier,effective_pull,final_weight_delta_from_baseline,effective_pull_delta_from_baseline,movement_explanation
0,0,uncapped,0.04698696969512303,18,0.0,0,0.9990016334808385,0.9990016334808385,11.899999999999999,4.064347114944193,0.07992013067846708,0.0,0.0,distance=stable; rank=unchanged; final_weight_delta=0.000000; pull_delta=0.000000
100,80,uncapped,0.04694967319113926,18,-3.7296503983770546e-05,0,1.0,1.0,81.9,14.467435548547803,0.08,0.0009983665191615199,7.986932153292159e-05,distance=closer; rank=unchanged; final_weight_delta=0.000998; pull_delta=0.000080
250,200,uncapped,0.04694967319113926,18,-3.7296503983770546e-05,0,1.0,1.0,186.89999999999998,27.422428685612726,0.08,0.0009983665191615199,7.986932153292159e-05,distance=closer; rank=unchanged; final_weight_delta=0.000998; pull_delta=0.000080
500,400,uncapped,0.04694967319113926,18,-3.7296503983770546e-05,0,1.0,1.0,361.9,46.46834548155629,0.08,0.0009983665191615199,7.986932153292159e-05,distance=closer; rank=unchanged; final_weight_delta=0.000998; pull_delta=0.000080
1250,1000,uncapped,0.04694967319113926,18,-3.7296503983770546e-05,0,1.0,1.0,886.9,96.017200816877,0.08,0.0009983665191615199,7.986932153292159e-05,distance=closer; rank=unchanged; final_weight_delta=0.000998; pull_delta=0.000080
2500,2000,uncapped,0.04694967319113926,18,-3.7296503983770546e-05,0,1.0,1.0,1761.9,168.03850283818113,0.08,0.0009983665191615199,7.986932153292159e-05,distance=closer; rank=unchanged; final_weight_delta=0.000998; pull_delta=0.000080
5000,4000,uncapped,0.04694967319113926,18,-3.7296503983770546e-05,0,1.0,1.0,3511.8999999999996,295.35599540643534,0.08,0.0009983665191615199,7.986932153292159e-05,distance=closer; rank=unchanged; final_weight_delta=0.000998; pull_delta=0.000080
