amplification_likes,amplification_comments,sensitivity_mode,euclidean_distance,nearest_neighbor_rank,distance_delta_from_baseline,rank_delta_from_baseline,interaction_weight,final_weight,weighted_interactions,sensitivity_multiplier,effective_pull,final_weight_delta_from_baseline,effective_pull_delta_from_baseline,movement_explanation
0,0,uncapped,0.05544791976070318,8,0.0,0,0.63803964650627,0.63803964650627,11.899999999999999,1.3966666666666665,0.0510431717205016,0.0,0.0,distance=stable; rank=unchanged; final_weight_delta=0.000000; pull_delta=0.000000
100,80,uncapped,0.01508305236907608,2,-0.0403648673916271,-6,1.4999432829049058,1.4999432829049058,81.9,3.73,0.11999546263239247,0.8619036363986358,0.06895229091189087,distance=closer; rank=improved; final_weight_delta=0.861904; pull_delta=0.068952
250,200,uncapped,0.0150822127785373,2,-0.04036570698216588,-6,1.5,1.5,186.89999999999998,7.2299999999999995,0.12,0.86196035349373,0.0689568282794984,distance=closer; rank=improved; final_weight_delta=0.861960; pull_delta=0.068957
500,400,uncapped,0.0150822127785373,2,-0.04036570698216588,-6,1.5,1.5,361.9,13.063333333333333,0.12,0.86196035349373,0.0689568282794984,distance=closer; rank=improved; final_weight_delta=0.861960; pull_delta=0.068957
1250,1000,uncapped,0.0150822127785373,2,-0.04036570698216588,-6,1.5,1.5,886.9,30.563333333333333,0.12,0.86196035349373,0.0689568282794984,distance=closer; rank=improved; final_weight_delta=0.861960; pull_delta=0.068957
2500,2000,uncapped,0.0150822127785373,2,-0.04036570698216588,-6,1.5,1.5,1761.9,59.730000000000004,0.12,0.86196035349373,0.0689568282794984,distance=closer; rank=improved; final_weight_delta=0.861960; pull_delta=0.068957
5000,4000,uncapped,0.0150822127785373,2,-0.04036570698216588,-6,1.5,1.5,3511.8999999999996,118.06333333333332,0.12,0.86196035349373,0.0689568282794984,distance=closer; rank=improved; final_weight_delta=0.861960; pull_delta=0.068957
